Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
198.68	64.286	0	1	0
199.48	37.5	0	1	0
200.28	20	0	1	0
201.08	50	0	1	0
201.88	39.131	0	1	0
202.68	4.762	16.8947	1	0
203.48	54.546	23.8625	1	0
204.27	22.222	28.892	1	0
205.07	14.286	33.004	1	0
205.87	24	36.4765	1	0
206.67	17.647	39.4907	1	0
207.47	7.143	42.155	1	0
208.27	23.53	44.5411	1	0
209.07	13.889	46.6994	1	0
209.87	20	48.6668	1	0
210.67	2.703	50.4717	1	0
211.46	11.111	52.1161	1	0
212.26	21.569	53.6594	1	0
213.06	10	55.0946	1	0
213.86	10.527	56.4335	1	0
214.66	18.182	57.6865	1	0
215.46	-3.448	58.8622	1	0
216.25	12.308	59.9546	1	0
217.05	11.476	60.9975	1	0
217.85	8	61.9825	1	0
218.65	12.987	62.9144	1	0
219.45	9.639	63.7976	1	0
220.24	9.783	64.6256	1	0
221.04	13.402	65.4229	1	0
221.84	3.061	66.1816	1	0
222.64	11.321	66.9047	1	0
223.44	10.925	67.5946	1	0
224.23	7.752	68.2455	1	0
225.03	11.852	68.876	1	0
225.83	8.696	69.4793	1	0
226.63	3.268	70.0573	1	0
227.42	6.587	70.6047	1	0
228.22	4.52	71.1369	1	0
229.02	7.18	71.6479	1	0
229.81	6.599	72.1331	1	0
230.61	7.908	72.6059	1	0
231.41	4.425	73.0609	1	0
232.21	7.378	73.4992	1	0
233	8.109	73.9164	1	0
233.8	6.594	74.3241	1	0
234.6	6.86	74.7174	1	0
235.39	4.965	75.0926	1	0
236.19	8.451	75.4597	1	0
236.99	8.796	75.8145	1	0
237.78	6.537	76.1535	1	0
238.58	8.39	76.4858	1	0
239.37	10.424	76.8035	1	0
240.17	10.034	77.1151	1	0
240.97	9.153	77.4171	1	0
241.76	9.723	77.7063	1	0
242.56	8.681	77.9903	1	0
243.36	12.455	78.266	1	0
244.15	13.14	78.5302	1	0
244.95	16.425	78.79	1	0
245.74	15.415	79.0394	1	0
246.54	9.616	79.2848	1	0
247.34	14.718	79.5233	1	0
248.13	13.384	79.7524	1	0
248.93	15.13	79.9782	1	0
249.72	17.377	80.1952	1	0
250.52	15.755	80.4091	1	0
251.31	16.945	80.6148	1	0
252.11	17.433	80.8177	1	0
252.9	17.48	81.0131	1	0
253.7	18.935	81.2058	1	0
254.49	19.899	81.3915	1	0
255.29	18.812	81.5748	1	0
256.08	19.958	81.7514	1	0
256.88	21.339	81.926	1	0
257.67	22.544	82.0942	1	0
258.47	23.065	82.2606	1	0
259.26	23.151	82.421	1	0
260.06	23.607	82.5797	1	0
260.85	25.641	82.7328	1	0
261.65	26.25	82.8843	1	0
262.44	26.311	83.0306	1	0
263.24	28.193	83.1754	1	0
264.03	29.528	83.3153	1	0
264.83	30.715	83.4538	1	0
265.62	32.017	83.5877	1	0
266.41	31.608	83.7187	1	0
267.21	33.854	83.8485	1	0
268	35.128	83.974	1	0
268.8	36.693	84.0985	1	0
269.59	37.312	84.2189	1	0
270.38	39.352	84.3368	1	0
271.18	40.068	84.4538	1	0
271.97	42.21	84.567	1	0
272.77	44.414	84.6793	1	0
273.56	45.141	84.7881	1	0
274.35	47.541	84.8947	1	0
275.15	48.336	85.0006	1	0
275.94	49.602	85.1031	1	0
276.73	52.715	85.2037	1	0
277.53	53.252	85.3036	1	0
278.32	54.464	85.4004	1	0
279.11	55.812	85.4955	1	0
279.91	57.08	85.5899	1	0
280.7	59.341	85.6815	1	0
281.49	59.189	85.7714	1	0
282.29	59.511	85.8608	1	0
283.08	62.447	85.9475	1	0
283.87	62.94	86.0326	1	0
284.66	64.72	86.1163	1	0
285.46	68.842	86.1995	1	0
286.25	66.722	86.2803	1	0
287.04	68.059	86.3597	1	0
287.83	69.429	86.4377	1	0
288.63	69.874	86.5153	1	0
289.42	71.226	86.5907	1	0
290.21	73.568	86.6649	1	0
291	72.822	86.7378	1	0
291.8	72.39	86.8104	1	0
292.59	74.935	86.8809	1	0
293.38	75.142	86.9503	1	0
294.17	75.205	87.0186	1	0
294.96	77.06	87.0858	1	0
295.76	77.883	87.1527	1	0
296.55	78.959	87.2178	1	0
297.34	78.038	87.2818	1	0
298.13	78.885	87.3449	1	0
298.92	81.566	87.4069	1	0
299.71	81.971	87.468	1	0
300.51	83.127	87.529	1	0
301.3	80.887	87.5882	1	0
302.09	81.586	87.6466	1	0
302.88	84.188	87.7041	1	0
303.67	81.712	87.7607	1	0
304.46	83.584	87.8165	1	0
305.25	86.611	87.8715	1	0
306.04	83.667	87.9257	1	0
306.83	84.195	87.9791	1	0
307.63	85.004	88.0324	1	0
308.42	85.384	88.0842	1	0
309.21	85.981	88.1354	1	0
310	86.373	88.1858	1	0
310.79	85.79	88.2354	1	0
311.58	88.61	88.2844	1	0
312.37	86.687	88.3327	1	0
313.16	87.519	88.3804	1	0
313.95	88.538	88.4274	1	0
314.74	88.878	88.4737	1	0
315.53	88.668	88.5195	1	0
316.32	88.71	88.5646	1	0
317.11	88.231	88.6091	1	0
317.9	89.249	88.653	1	0
318.69	88.689	88.6963	1	0
319.48	89.528	88.739	1	0
320.27	88.167	88.7812	1	0
321.06	89.357	88.8228	1	0
321.85	86.78	88.8639	1	0
322.64	87.126	88.9045	1	0
323.43	90.73	88.9445	1	0
324.22	90.512	88.9841	1	0
325.01	89.057	89.0231	1	0
325.8	87.446	89.0616	1	0
326.59	89.458	89.0997	1	0
327.38	88.093	89.1373	1	0
328.17	89.716	89.1744	1	0
328.95	87.488	89.2106	1	0
329.74	88.973	89.2468	1	0
330.53	89.375	89.2825	1	0
331.32	89.675	89.3179	1	0
332.11	89.262	89.3528	1	0
332.9	87.889	89.3872	1	0
333.69	88.134	89.4213	1	0
334.48	89.798	89.4549	1	0
335.27	88.622	89.4882	1	0
336.05	89.261	89.5206	1	0
336.84	91.122	89.5531	1	0
337.63	90.246	89.5852	1	0
338.42	89.063	89.6169	1	0
339.21	91.099	89.6483	1	0
340	91.273	89.6793	1	0
340.78	91.273	89.7096	1	0
341.57	89.788	89.7398	1	0
342.36	90.455	89.7698	1	0
343.15	88.781	89.7994	1	0
343.94	90.091	89.8287	1	0
344.72	89.99	89.8573	1	0
345.51	89.718	89.8859	1	0
346.3	91.049	89.9142	1	0
347.09	88.578	89.9422	1	0
347.87	90.945	89.9695	1	0
348.66	89.258	89.9969	1	0
349.45	90.309	90.024	1	0
350.24	92.499	90.0508	1	0
351.02	91.413	90.077	1	0
351.81	91.567	90.1032	1	0
352.6	90.669	90.1292	1	0
353.38	93.169	90.1545	1	0
354.17	92.243	90.1799	1	0
354.96	90.878	90.205	1	0
355.75	91.914	90.2299	1	0
356.53	90.867	90.2542	1	0
357.32	91.333	90.2786	1	0
358.11	92.262	90.3027	1	0
358.89	92.459	90.3262	1	0
359.68	90.966	90.3498	1	0
360.47	91.943	90.3732	1	0
361.25	93.467	90.396	1	0
362.04	90.933	90.4189	1	0
362.82	91.77	90.4413	1	0
363.61	91.354	90.4637	1	0
364.4	92.448	90.4859	1	0
365.18	91.4	90.5076	1	0
365.97	92.747	90.5294	1	0
366.75	91.699	90.5507	1	0
367.54	90.617	90.572	1	0
368.33	92.859	90.5932	1	0
369.11	92.132	90.6138	1	0
369.9	89.579	90.6346	1	0
370.68	91.006	90.6548	1	0
371.47	91.659	90.6751	1	0
372.25	92.134	90.695	1	0
373.04	92.119	90.715	1	0
373.82	88.855	90.7345	1	0
374.61	92.133	90.754	1	0
375.4	92.494	90.7734	1	0
376.18	91.126	90.7924	1	0
376.97	92.116	90.8114	1	0
377.75	93.203	90.83	1	0
378.54	92.051	90.8486	1	0
379.32	93.382	90.8669	1	0
380.11	92.71	90.8852	1	0
380.89	91.521	90.9031	1	0
381.67	91.991	90.9209	1	0
382.46	92.642	90.9387	1	0
383.24	93.684	90.9561	1	0
384.03	91.492	90.9736	1	0
384.81	91.486	90.9908	1	0
385.6	91.662	91.0079	1	0
386.38	91.748	91.0248	1	0
387.17	92.564	91.0416	1	0
387.95	92.766	91.0582	1	0
388.73	92.176	91.0745	1	0
389.52	92.944	91.091	1	0
390.3	93.097	91.1071	1	0
391.09	91.524	91.1232	1	0
391.87	92.224	91.139	1	0
392.65	92.271	91.1547	1	0
393.44	91.996	91.1704	1	0
394.22	92.962	91.1858	1	0
395	91.85	91.2011	1	0
395.79	92.273	91.2164	1	0
396.57	92.692	91.2314	1	0
397.35	92.14	91.2463	1	0
398.14	91.511	91.2612	1	0
398.92	93.294	91.2759	1	0
399.7	91.591	91.2904	1	0
400.49	92.922	91.3049	1	0
401.27	94.115	91.3192	1	0
402.05	93.533	91.3333	1	0
402.84	91.775	91.3475	1	0
403.62	94.366	91.3615	1	0
404.4	92.952	91.3753	1	0
405.18	93.727	91.3889	1	0
405.97	92.323	91.4027	1	0
406.75	92.293	91.4161	1	0
407.53	91.585	91.4295	1	0
