Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
198.68	64.286	88.9051	1.63686	0
199.48	37.5	88.9389	1.6348	0
200.28	20	88.9738	1.63278	0
201.08	50	89.0106	1.63079	0
201.88	39.131	89.0503	1.62884	0
202.68	4.762	89.0931	1.62693	0
203.48	54.546	89.1394	1.62505	0
204.27	22.222	89.1883	1.62322	0
205.07	14.286	89.2407	1.62141	0
205.87	24	89.2955	1.61963	0
206.67	17.647	89.3519	1.61787	0
207.47	7.143	89.409	1.61615	0
208.27	23.53	89.4661	1.61446	0
209.07	13.889	89.5222	1.6128	0
209.87	20	89.5766	1.61117	0
210.67	2.703	89.6286	1.60956	0
211.46	11.111	89.677	1.608	0
212.26	21.569	89.7227	1.60645	0
213.06	10	89.7647	1.60492	0
213.86	10.527	89.8031	1.60342	0
214.66	18.182	89.8378	1.60194	0
215.46	-3.448	89.8691	1.60048	0
216.25	12.308	89.897	1.59907	0
217.05	11.476	89.9226	1.59766	0
217.85	8	89.9461	1.59627	0
218.65	12.987	89.9679	1.59491	0
219.45	9.639	89.9887	1.59356	0
220.24	9.783	90.0086	1.59226	0
221.04	13.402	90.0289	1.59095	0
221.84	3.061	90.0495	1.58967	0
222.64	11.321	90.0711	1.58841	0
223.44	10.925	90.0938	1.58716	0
224.23	7.752	90.1177	1.58595	0
225.03	11.852	90.1435	1.58475	0
225.83	8.696	90.171	1.58356	0
226.63	3.268	90.2002	1.58238	0
227.42	6.587	90.2306	1.58124	0
228.22	4.52	90.2629	1.5801	0
229.02	7.18	90.2965	1.57898	0
229.81	6.599	90.3307	1.57789	0
230.61	7.908	90.3661	1.5768	0
231.41	4.425	90.402	1.57573	0
232.21	7.378	90.438	1.57467	0
233	8.109	90.4734	1.57364	0
233.8	6.594	90.5089	1.57261	0
234.6	6.86	90.5436	1.57159	0
235.39	4.965	90.5769	1.5706	0
236.19	8.451	90.6093	1.56961	0
236.99	8.796	90.6403	1.56864	0
237.78	6.537	90.6694	1.56769	0
238.58	8.39	90.6972	1.56674	0
239.37	10.424	90.7228	1.56581	0
240.17	10.034	90.747	1.56489	0
240.97	9.153	90.7694	1.56398	0
241.76	9.723	90.7897	1.56309	0
242.56	8.681	90.8087	1.5622	0
243.36	12.455	90.8261	1.56133	0
244.15	13.14	90.8419	1.56047	0
244.95	16.425	90.8567	1.55962	0
245.74	15.415	90.8701	1.55879	0
246.54	9.616	90.8829	1.55796	0
247.34	14.718	90.8949	1.55713	0
248.13	13.384	90.9063	1.55633	0
248.93	15.13	90.9175	1.55553	0
249.72	17.377	90.9284	1.55475	0
250.52	15.755	90.9395	1.55397	0
251.31	16.945	90.9506	1.55321	0
252.11	17.433	90.9622	1.55245	0
252.9	17.48	90.9741	1.5517	0
253.7	18.935	90.9867	1.55096	0
254.49	19.899	90.9998	1.55023	0
255.29	18.812	91.0138	1.54951	0
256.08	19.958	91.0284	1.5488	0
256.88	21.339	91.044	1.54809	0
257.67	22.544	91.0601	1.5474	0
258.47	23.065	91.0773	1.54671	0
259.26	23.151	91.095	1.54603	0
260.06	23.607	91.1136	1.54536	0
260.85	25.641	91.1327	1.5447	0
261.65	26.25	91.1526	1.54404	0
262.44	26.311	91.1727	1.54339	0
263.24	28.193	91.1936	1.54275	0
264.03	29.528	91.2145	1.54212	0
264.83	30.715	91.2359	1.54149	0
265.62	32.017	91.2572	1.54087	0
266.41	31.608	91.2785	1.54027	0
267.21	33.854	91.3	1.53966	0
268	35.128	91.321	1.53906	0
268.8	36.693	91.3421	1.53847	0
269.59	37.312	91.3625	1.53788	0
