Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
200	87.4284	91.0954	1.55196	0
201	87.7778	91.1166	1.55072	0
202	88.0833	91.1379	1.5495	0
203	88.3445	91.1599	1.5483	0
204	88.6347	91.1831	1.54713	0
205	88.9019	91.2077	1.54598	0
206	89.0974	91.234	1.54485	0
207	89.3368	91.2619	1.54374	0
208	89.5293	91.2912	1.54266	0
209	89.6233	91.3218	1.54159	0
210	89.7871	91.3532	1.54054	0
211	89.9014	91.385	1.53951	0
212	90.0156	91.4168	1.5385	0
213	90.1125	91.4481	1.53751	0
214	90.2017	91.4785	1.53653	0
215	90.2305	91.5077	1.53558	0
216	90.3023	91.5353	1.53463	0
217	90.3508	91.5611	1.53371	0
218	90.3561	91.585	1.5328	0
219	90.4009	91.607	1.53191	0
220	90.4139	91.627	1.53103	0
221	90.381	91.6452	1.53017	0
222	90.4711	91.6618	1.52932	0
223	90.4854	91.677	1.52848	0
224	90.4817	91.6911	1.52766	0
225	90.5406	91.7044	1.52686	0
226	90.5586	91.7171	1.52606	0
227	90.5246	91.7295	1.52528	0
228	90.5768	91.742	1.52451	0
229	90.6169	91.7547	1.52376	0
230	90.6068	91.7679	1.52301	0
231	90.7105	91.7818	1.52228	0
232	90.7286	91.7964	1.52156	0
233	90.7557	91.8118	1.52085	0
234	90.8308	91.8281	1.52015	0
235	90.9176	91.8452	1.51946	0
236	90.9641	91.8631	1.51879	0
237	91.0631	91.8817	1.51812	0
238	91.1547	91.9009	1.51746	0
239	91.1746	91.9205	1.51682	0
240	91.2869	91.9404	1.51618	0
241	91.3654	91.9604	1.51555	0
242	91.4115	91.9803	1.51493	0
243	91.4935	92	1.51432	0
244	91.5725	92.0193	1.51372	0
245	91.5896	92.0381	1.51313	0
246	91.6835	92.0563	1.51255	0
247	91.7786	92.0737	1.51198	0
248	91.7758	92.0902	1.51141	0
249	91.8311	92.1058	1.51085	0
250	91.9016	92.1205	1.5103	0
251	91.8791	92.1342	1.50976	0
252	91.9839	92.1469	1.50922	0
253	91.9842	92.1586	1.5087	0
254	91.9937	92.1695	1.50818	0
255	92.0161	92.1796	1.50766	0
256	92.0775	92.1888	1.50716	0
257	92.0553	92.1974	1.50666	0
258	92.0865	92.2055	1.50617	0
259	92.1288	92.213	1.50568	0
260	92.0914	92.2202	1.5052	0
261	92.1585	92.2271	1.50473	0
262	92.1766	92.2338	1.50426	0
263	92.1599	92.2405	1.5038	0
264	92.2055	92.2471	1.50335	0
265	92.2195	92.2539	1.5029	0
266	92.2003	92.2609	1.50246	0
267	92.2584	92.2681	1.50202	0
268	92.2837	92.2756	1.50159	0
269	92.2507	92.2835	1.50117	0
270	92.3192	92.2918	1.50075	0
271	92.3227	92.3004	1.50033	0
272	92.2932	92.3095	1.49992	0
273	92.3581	92.319	1.49952	0
274	92.3726	92.3288	1.49912	0
275	92.3278	92.3391	1.49873	0
276	92.3922	92.3497	1.49834	0
277	92.4223	92.3606	1.49795	0
278	92.3971	92.3718	1.49758	0
279	92.4479	92.3832	1.4972	0
280	92.4564	92.3948	1.49683	0
281	92.4648	92.4066	1.49646	0
282	92.4731	92.4184	1.4961	0
283	92.4813	92.4302	1.49575	0
284	92.4893	92.442	1.49539	0
285	92.4973	92.4537	1.49505	0
286	92.5052	92.4652	1.4947	0
287	92.513	92.4766	1.49436	0
288	92.5206	92.4877	1.49402	0
289	92.5282	92.4986	1.49369	0
290	92.5357	92.5091	1.49336	0
291	92.5431	92.5193	1.49304	0
292	92.5504	92.5291	1.49272	0
293	92.5577	92.5385	1.4924	0
294	92.5648	92.5475	1.49209	0
295	92.5718	92.556	1.49178	0
296	92.5788	92.5642	1.49147	0
297	92.5857	92.5718	1.49117	0
298	92.5925	92.5791	1.49087	0
299	92.5992	92.5859	1.49057	0
300	92.6059	92.5923	1.49028	0
301	92.6124	92.5983	1.48999	0
302	92.6189	92.6039	1.48971	0
303	92.6254	92.6091	1.48942	0
304	92.6317	92.614	1.48914	0
305	92.638	92.6186	1.48887	0
306	92.6442	92.6229	1.48859	0
307	92.6503	92.627	1.48832	0
308	92.6564	92.6308	1.48805	0
309	92.6624	92.6344	1.48779	0
310	92.6683	92.6379	1.48753	0
311	92.6741	92.6412	1.48727	0
312	92.6799	92.6444	1.48701	0
313	92.6857	92.6476	1.48676	0
314	92.6913	92.6507	1.48651	0
315	92.6969	92.6538	1.48626	0
316	92.7025	92.6569	1.48601	0
317	92.708	92.66	1.48577	0
318	92.7134	92.6633	1.48553	0
319	92.7188	92.6665	1.48529	0
320	92.7241	92.6699	1.48505	0
321	92.7293	92.6735	1.48482	0
322	92.7345	92.6771	1.48459	0
323	92.7397	92.6809	1.48436	0
324	92.7448	92.6848	1.48413	0
325	92.7498	92.689	1.48391	0
326	92.7548	92.6932	1.48369	0
327	92.7597	92.6977	1.48347	0
328	92.7646	92.7023	1.48325	0
329	92.7694	92.7071	1.48304	0
330	92.7742	92.7121	1.48282	0
331	92.7789	92.7173	1.48261	0
332	92.7836	92.7226	1.4824	0
333	92.7883	92.7281	1.4822	0
334	92.7928	92.7337	1.48199	0
335	92.7974	92.7394	1.48179	0
336	92.8019	92.7453	1.48159	0
337	92.8063	92.7513	1.48139	0
338	92.8107	92.7574	1.4812	0
